O,D,flow,dist
4,18,0,15.667669193729775
4,19,0,12.904661665128813
4,20,0,7.366533098222369
4,21,0,18.037098837012564
4,22,0,4.130661766052317
4,23,0,12.318540786991951
4,24,0,20.799501444108106
4,25,0,27.837844309227325
4,26,0,13.579708009021441
4,27,0,21.04227012408109
4,28,0,6.143316749908834
4,29,0,11.233278341933909
4,30,0,13.237446380664347
4,31,0,4.334884480206677
4,32,0,5.718153601801934
4,33,0,12.29673882904368
4,34,0,11.43544372269077
4,35,0,23.381039602778554
4,36,0,9.500324436371924
4,37,0,12.406354465124982
4,38,0,12.883605200538895
4,39,0,9.099237076568377
4,40,0,20.100513393616318
4,41,0,6.929903285744482
4,42,0,7.444961149091907
4,43,0,11.380977199811118
4,44,0,2.441880993995898
4,45,0,8.27617771810784
4,46,0,7.922886353114557
4,47,0,13.809732107866715
4,48,0,7.041061448307112
4,49,0,3.52419485790845
4,50,0,4.146082265220005
4,51,0,4.888302278163447
4,52,0,8.404454831886744
4,53,0,9.572384171572406
4,54,0,11.903230065805772
4,55,0,10.190644506546738
4,56,0,5.816024008439195
4,57,0,12.949055511831626
4,58,0,14.102845319524345
4,59,0,14.800222712198801
4,60,0,10.353034378472824
4,61,0,9.296146599826823
4,62,0,4.589232042365849
4,63,0,15.59972595120525
4,64,0,12.356457030774447
4,65,0,4.111627030165241
4,66,0,15.463966441007047
4,67,0,17.34232054156219
4,68,0,10.791709005642103
4,69,0,7.178428900843415
4,70,0,11.274879318039991
4,71,0,13.854795209038388
4,72,0,3.1293024494310244
4,73,0,5.1229450367304175
4,74,0,6.926347373369106
4,75,0,7.437285699093391
4,76,0,9.237414228643386
4,77,0,5.731608703610577
4,78,0,1.8388704356085046
4,79,0,16.93820308748198
4,80,0,15.977920262164613
4,81,0,13.575235861201572
4,82,0,5.58345722050584
4,83,0,12.082883802156916
4,84,0,9.39439197968995
4,85,0,10.346299499700024
4,86,0,18.04683070083189
4,87,0,7.352142328109196
4,88,0,7.8088757983373105
4,89,0,16.650090811174973
4,90,0,13.374129860067482
4,91,0,12.866132883220317
4,92,0,5.719381120860686
4,93,0,10.290039923725466
4,94,0,7.061469212260539
4,95,0,10.733774149576025
4,96,0,8.66017931325303
4,97,0,10.145926971319446
5,0,0,20.09628508024729
5,1,0,13.24843221509684
5,2,0,19.93684385485831
5,3,0,11.611086747154589
5,4,0,7.374624948312818
5,5,0,0.0
5,6,0,5.438988544405934
5,7,0,10.616940626240702
5,8,0,3.1387940282582703
5,9,0,9.046353864376519
5,10,0,21.56838380571638
5,11,0,18.49454787046195
5,12,0,18.135597145612444
5,13,0,6.323851749923338
5,14,0,17.19537677381297
5,15,0,5.537274031775851
5,16,0,24.26599464337128
5,17,0,9.330135679172123
5,18,0,22.141547982170074
5,19,0,5.936395405889729
5,20,0,13.80893706512751
5,21,0,23.396286292711743
5,22,0,4.990349439372729
5,23,0,8.386145150327438
5,24,0,22.280630992331407
5,25,0,30.269157519871417
5,26,0,16.89890224217927
5,27,0,24.221581122093475
5,28,0,13.511542728418107
5,29,0,10.899154199251798
5,30,0,11.624120382256839
5,31,0,9.585524709100483
5,32,0,7.179750933935635
5,33,0,6.86514604305624
5,34,0,9.190224435133524
5,35,0,27.308853403866678
5,36,0,14.639724257686158
5,37,0,8.648964329438156
5,38,0,18.00781270328207
5,39,0,9.433324230268907
5,40,0,23.32180965126291
5,41,0,13.375365667916427
5,42,0,14.641747027546444
5,43,0,12.718609500745588
5,44,0,9.803952074876761
5,45,0,14.169957915816372
5,46,0,11.855240979144549
5,47,0,14.134136092479594
5,48,0,14.409281645737732
5,49,0,7.748426163502193
5,50,0,11.382928076785834
5,51,0,11.18591970139422
5,52,0,1.8613477884735175
5,53,0,16.71017707136906
5,54,0,19.274141613743154
5,55,0,9.043715248630209
5,56,0,3.068974572043731
5,57,0,7.095400412663899
5,58,0,13.216780090479805
5,59,0,18.970338549688286
5,60,0,12.144744494848178
5,61,0,11.165875135428777
5,62,0,5.088399646775887
5,63,0,16.975588417146206
5,64,0,16.861315401123857
5,65,0,10.772102044720542
5,66,0,18.630921176843643
5,67,0,22.379051112732704
5,68,0,5.576775689927617
5,69,0,10.386990068581175
5,70,0,17.024770046153623
5,71,0,9.989349003426101
5,72,0,9.719418396186184
5,73,0,2.399745989512979
5,74,0,11.751030794667782
5,75,0,14.389287179641112
5,76,0,16.589915431924545
5,77,0,9.902980079384387
5,78,0,7.770254083672837
5,79,0,21.449741595695055
5,80,0,15.893705698943764
5,81,0,15.78816529143211
5,82,0,12.719222999776742
5,83,0,14.56632083618605
5,84,0,12.480281499544779
5,85,0,14.697565952186547
5,86,0,21.087828761000846
5,87,0,7.967828317676403
5,88,0,8.811793768118504
5,89,0,15.478584203579958
5,90,0,13.734793412151811
5,91,0,18.897579194292458
5,92,0,12.881543614021037
5,93,0,2.942977984862657
5,94,0,9.355450520962302
5,95,0,3.8109171471891936
5,96,0,7.062290383861964
5,97,0,16.871398681832183
6,0,0,17.61246974424736
6,1,0,13.102813994892736
6,2,0,16.450297205885203
6,3,0,11.850548791895948
6,4,0,2.1556599107167633
6,5,0,5.438988544405934
6,6,0,0.0
6,7,0,12.88894209929162
6,8,0,7.2574472261169465
6,9,0,6.0817321420806625
6,10,0,19.305566695648068
6,11,0,17.250357401148666
6,12,0,17.095946275590308
6,13,0,9.05492795203002
6,14,0,14.880185122174288
6,15,0,5.581828710879551
6,16,0,21.463849816621163
6,17,0,9.815166386369281
6,18,0,16.948145741315887
6,19,0,10.783985796388171
6,20,0,8.560066281607314
6,21,0,18.77822055481406
6,22,0,3.66590075023549
6,23,0,10.311462994252471
6,24,0,20.15026610342864
6,25,0,29.10894959978159
6,26,0,13.42622854570815
6,27,0,22.458920644258505
6,28,0,8.139789915291596
6,29,0,9.857415045738954
6,30,0,13.15737414350373
6,31,0,4.6654697940415115
6,32,0,4.392755056060808
6,33,0,11.075770721337715
6,34,0,11.093300674805247
6,35,0,24.999779351986174
6,36,0,11.276657987406068
6,37,0,11.670833111306894
6,38,0,14.70701321806539
6,39,0,7.784237012799446
6,40,0,21.51977097474948
6,41,0,8.991655125666036
6,42,0,9.202907639865286
6,43,0,10.480649438478336
6,44,0,4.453192934058636
6,45,0,10.226876136489185
6,46,0,9.293336061028876
6,47,0,14.316562935081883
6,48,0,9.108936169130226
6,49,0,3.091356439367316
6,50,0,6.29885466036753
6,51,0,6.874875171340326
6,52,0,6.3003233540572765
6,53,0,11.725945934304022
6,54,0,13.894157781554698
6,55,0,8.575564564265049
6,56,0,3.661049020987757
6,57,0,11.620826166730053
6,58,0,12.69013973694607
6,59,0,16.406776433297633
6,60,0,11.170212374152843
6,61,0,8.467422538212997
6,62,0,2.6853381992218903
6,63,0,16.454072898004913
6,64,0,14.015274806845298
6,65,0,5.399826184051158
6,66,0,16.814189474353633
