GEOID,population,population_density,area,natural_green_field,natural_beach,natural_water,natural_other,landuse_transportation,landuse_commercial,landuse_construction,landuse_agriculture,landuse_greenfield,landuse_residential,landuse_brownfield,landuse_education,landuse_office,landuse_public_area,landuse_other,landuse_industrial,building_restaurant,building_residential,building_school,building_transportation hub,building_other,building_health,building_industrial,building_parking,building_fuel,building_transit,building_bank,building_religious,building_commercial,building_tourism,building_shop,building_agriculture,building_sport,building_office,building_leisure,point_school,point_restaurant,point_parking,point_religious,point_residential,point_tourism,point_traffic_signal,point_bank,point_transit,point_transportation_hub,point_sport,point_shop,point_fuel,point_leisure,point_commercial,point_industrial,point_office,point_healthcare,main_road_line,residential_line,other_road_line
33,69314,1.7511681986958698,3.9581577630075473,0.03633629051294041,0.0,0.012215348809990995,0.0,0.0,0.01778635960668668,0.04158747256203475,0.0,0.08858960654133106,0.007115853401251362,0.0,0.0,0.0,0.0,0.01325636312521363,0.4289726719311404,5.858821985436284e-05,0.0006135030927223224,0.06271398589774896,0.0005038100468035949,3.141214046554338,0.0,0.0477022690349646,0.0118566269827765,0.0,0.0,0.0,0.0005267943716324542,0.011026088054628512,7.593189851997339e-05,0.000862320295899309,0.0,0.005551914375987672,0.013422500726487565,0.07629151402073314,0.0,0.02021142278553673,0.005052855696384182,0.0,0.0,0.012632139240960455,0.04042284557107346,0.002526427848192091,0.09095140253491528,0.0,0.002526427848192091,0.04042284557107346,0.0,0.04800212911564973,0.002526427848192091,0.027790706330113,0.007579283544576273,0.0,0.004556477883443848,0.0016504747757939387,0.03019887162125369
34,133072,2.754452607360716,4.83115954307553,0.0,0.0,0.007993262625840818,0.0,0.0,0.03034770403606547,0.02756444754872039,0.008520985269223322,0.019087600577051993,0.48665968905412965,0.0,0.0,0.0,0.0007598693365424404,0.0,0.13383243015577023,0.000968162536701918,0.05897306014806144,0.07932661746406247,0.0007246398669110949,3.141458281458237,0.0004681578020473218,0.015050569526872956,0.019024710943893124,0.0006291156019240194,0.0,0.0,0.003834992692530126,0.005674782701485434,2.235532970889722e-05,0.003003811253132535,0.0,0.009428608974119063,0.007993224631032952,0.047071402588698415,0.024838757430810834,0.06002699712445952,0.012419378715405417,0.0020698964525675697,0.0,0.0020698964525675697,0.1014249261758109,0.03932803259878382,0.20077995589905426,0.0,0.006209689357702709,0.10556471908094604,0.0,0.03725813614621625,0.018629068073108126,0.004139792905135139,0.022768860978243266,0.006209689357702709,0.0073028298056531295,0.003177694408900323,0.03315895460453245
35,1596,0.0042909403856720586,37.19464398361783,0.015016826343069981,0.0003594992026203928,0.019115493699565722,0.0,0.0,0.006643149877070225,0.0757799931326885,0.003066566624984728,0.181128550357182,0.00045403972689986614,0.019270378460159866,0.0,7.477802282929684e-05,0.0,0.18876388104732078,0.03949063636066498,0.0004342405519089247,0.0001632982705385114,0.0009410453993559408,0.0,2.7292571192610096,0.00012038243678605427,9.686643046795903e-05,0.004996233474228495,0.0,0.004652101000557885,0.0,0.0,0.0011187599435207292,0.0009697854515283513,0.012849367518753022,6.465760316720827e-06,0.0004627180914822061,0.006591168379509797,0.005906441516088783,0.00026885591388922696,0.018013346230578205,0.004570550536116858,0.0,0.00026885591388922696,0.004570550536116858,0.0037639827944491774,0.011560804297236759,0.023390464508362744,0.016400210747242842,0.0005377118277784539,0.029574150527814966,0.0005377118277784539,0.007259109675009127,0.0013442795694461349,0.0,0.007259109675009127,0.0008065677416676808,0.0016360130407689468,2.7948756020626108e-05,0.018129514638164184
36,74985,1.9659234393380942,3.8142380572687338,0.0,0.0,0.0027523007624618012,0.0,0.0,0.0,0.017856961542325474,0.0,0.02559529144795826,0.42136257277727696,0.0,0.0,0.0,0.011290921298098971,0.068378308473584,0.29821000580718693,7.826761031416774e-05,0.13217686635625586,0.03167657801035128,0.0006298033938784359,3.2385964049696994,0.0015830929649456353,0.011380262619377197,0.011526598214660101,0.0007749818336336364,0.0,0.0,0.0031508140990132104,0.008081121318723523,0.0,0.0039611697629195865,0.0,0.002504269527481179,0.001600851339374456,0.01900573427091529,0.020974044828572052,0.19138815906071996,0.047191600864287114,0.007865266810714519,0.0026217556035715065,0.018352289225000543,0.14157480259286134,0.02883931163928657,0.17303586983571942,0.0,0.023595800432143557,0.25955380475357914,0.005243511207143013,0.13633129138571834,0.020974044828572052,0.010487022414286026,0.047191600864287114,0.034082822846429585,0.006971614035530405,0.008381753973005706,0.03321525128323267
37,42300,1.0287715312628019,4.111700092252493,0.005160264164545311,0.0,0.01290018096566593,0.0,0.0,0.0,0.040795613219434874,0.029249911880545158,0.13428414271119082,0.5088948030500481,0.0,0.0,0.0,0.0006597880260127038,0.003757690398499089,0.018752026683474504,0.001242826179094592,0.17267292777679907,0.021918434475542467,0.0014049581897029055,3.109268312307405,0.0,0.010395419148694752,0.029681938973296844,0.0003356649528441915,0.0028427004947147835,0.0,0.00036963562715404446,0.0020918927113417734,1.1070818343408687e-05,0.004385125973333453,0.0,0.0037729934531473192,0.00010522306425257523,0.07582479618465995,0.017024587987800485,0.08269085594074521,0.13619670390240388,0.0,0.004864167996514425,0.017024587987800485,0.13133253590588945,0.0194566719860577,0.20915922385012026,0.0,0.0194566719860577,0.22375172783966352,0.0,0.09241919193377406,0.02188875598431491,0.0,0.007296251994771637,0.0024320839982572124,0.005907080705264158,0.006475140968121338,0.03380707896804876
38,83394,1.9410283590065782,4.296382359023399,0.005025401974281122,1.0184180944881912e-05,0.0019455196272163623,0.0,0.0,0.04446573052067174,0.011009564793648126,0.0027374490142625034,0.011462045480128994,0.3873040832570946,0.0,0.0,0.0,0.011806294354902888,0.0,0.14292612897722223,0.0,0.12051666333895704,0.028648964353146858,0.0009294630449788627,3.061838897163505,0.0005063252537027313,0.05638845794474869,0.013557220511980186,0.0001195463854997964,0.0,0.0,0.0042015151485736615,0.03667022238658142,1.255882902427282e-05,0.009279689219330403,0.0,0.004613862733270875,0.004912895495007976,0.02673086485814725,0.034913093729883146,0.12801467700957153,0.03258555414789094,0.01163769790996105,0.00232753958199221,0.02094785623792989,0.12103205826359492,0.03025801456589873,0.188530706141369,0.00698261874597663,0.06517110829578188,0.4445600601605121,0.00698261874597663,0.20482348321531446,0.02094785623792989,0.01163769790996105,0.24671919569117426,0.03258555414789094,0.0071591787833924945,0.005707248668537099,0.04044770522154519
39,59161,1.44111858959251,4.105213854518963,0.0,0.0,0.0076957148090573855,0.0,0.0,0.010557959662462245,0.0,0.0,0.008229065148892432,0.12646960548012864,0.0,0.018750822864794844,0.0,0.0,0.0,0.6286231715311726,0.0005462325364775368,0.15538584835087094,0.024275478511806444,0.0,3.409365531601752,0.0,0.07740175774676987,0.01321838954435272,0.0009233388191654171,0.0,0.0,0.001047951311143813,0.00045413337780374067,0.0,0.0030307544255415747,0.0,0.005965469399714824,0.0313002605862363,0.011916180004010683,0.004871853381763389,0.012179633454408471,0.017051486836171862,0.0,0.0,0.0,0.09500114094438608,0.014615560145290167,0.16564301497995523,0.0,0.0024359266908816945,0.029231120290580333,0.0,0.012179633454408471,0.0024359266908816945,0.0024359266908816945,0.009743706763526778,0.012179633454408471,0.006237683072441595,0.0030425720397994896,0.028071529346689723
40,69711,1.7173228276392905,4.059283372819768,0.004405181729266683,0.0,0.003696973577817646,0.0004364879253003154,0.0,0.0,0.015981820117788755,0.00012821919888937502,0.06429207666482362,0.2433560295071675,0.0,0.0,0.0,0.00023403346400152346,0.14985809306249837,0.4333410970841207,0.0,0.03387908865228816,0.011193766513773856,0.0,3.207570133876146,0.0,0.006239806098489195,0.01947233806848257,0.0004306830524915527,5.197560487512811e-07,0.0,0.0003869637063361026,0.0006301231366128526,0.0,0.00047776420643815204,0.0,0.0015764137405086876,0.0006580410342626978,0.008606980972965507,0.004926978031126481,0.0,0.007390467046689721,0.007390467046689721,0.0,0.007390467046689721,0.1404188738871047,0.004926978031126481,0.12317445077816203,0.0,0.0024634890155632405,0.007390467046689721,0.0024634890155632405,0.024634890155632406,0.0024634890155632405,0.004926978031126481,0.009853956062252962,0.0,0.0041586321934382,0.0031416348278752153,0.028891950132263495
41,51520,1.2735346688968865,4.045433646861434,0.0012914020020703858,0.00011846295510127776,0.016789112796882458,0.0,0.0,0.0698455878334735,0.05865047856096277,0.003945910315217339,0.04922630167809347,0.22774844612810433,0.0,0.0031952052580187774,0.0,0.014531720938578768,0.021804584819083955,0.00884046133539057,0.0013200174517055126,0.08038152752971485,0.021441876024593007,0.0010192595131874442,3.0566371585475194,0.05691402517226692,0.004581856708365765,0.03311539692116445,0.0002569176441861354,0.0022079300693313734,0.0,0.009198100164785023,0.008898529374028677,0.030138272025779993,0.017038480006644385,0.0,0.0214271871087432,0.03717945161644023,0.13030436304213663,0.044494611879161296,0.7020260985378782,0.15573114157706452,0.04943845764351255,0.09146114664049822,0.2348326738066846,0.358428817915466,0.0815734551117957,0.20516959922057706,0.004943845764351255,0.10382076105137635,1.2483210554986919,0.014831537293053764,0.41775496708768106,0.03955076611481004,0.004943845764351255,0.07662960934744445,0.1532592186948889,0.007521939498021731,0.00722190184212343,0.03909588109666859
42,42781,0.9154576808486151,4.673181611228896,0.1571110036372166,0.0006901614362025296,0.020915653279509918,0.0002483081359386946,0.0,0.16955517594551953,0.021681828554304082,0.002035590482792455,0.1395839883631786,0.20028429781050547,0.0,0.0,0.0,0.01291217268781729,0.0019947718976886237,0.0006380918529398742,0.0009459248516531353,0.03884680054046087,0.002573852627786171,0.0035591776080068226,3.0723765434827257,0.0,0.0016277914122793324,0.012586504849185,0.0005166852847104451,0.0,0.0,0.0049140405397536165,0.006008248272774257,0.016996659036732878,0.018531689316589054,0.0,0.005883659800444414,0.025328908691084166,0.13937605909998685,0.010699348786244067,0.344519030917059,0.19900788742413966,0.02567843708698576,0.021398697572488135,0.32312033334457085,0.19686801766689083,0.04921700441672271,0.19900788742413966,0.0,0.029958176601483387,0.4151347329062698,0.00641960927174644,0.18402879912339795,0.01283921854349288,0.004279739514497627,0.06847583223196203,0.029958176601483387,0.006737746626698515,0.004541229811616587,0.04852292097496986
43,23,0.0005625360222496531,4.088627055031974,0.0,0.07080704159090877,0.004954640672085315,0.08129989161853904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775752426975172,0.0,0.0,0.0,0.0,3.1341992839499144,0.0,0.0250615422482008,1.672215364083462e-05,8.614294516648353e-05,0.0,0.0,0.0,0.008002955216306111,0.0,1.0658643016353034e-05,0.0,0.0,0.0038582433023172935,0.0,0.0,0.0,0.004891617584779603,0.0,0.0,0.0,0.026903896716287817,0.0024458087923898016,0.08071169014886345,0.0,0.0,0.0024458087923898016,0.0024458087923898016,0.004891617584779603,0.0,0.0,0.0,0.0,0.0011022390239378015,0.0020562459136895177,0.019857049044896012
44,30614,0.7535376477628836,4.062703448313088,0.003783847255817614,0.0,0.00024348037838654683,0.00024288496179070035,0.0,0.016064563045673275,0.005240760609632008,0.0008554437185047782,0.009540783843904246,0.8490011179888058,0.0,0.0030986581768052894,0.0,0.0021466847440087655,0.0,0.0,1.6122878054093006e-05,0.03894181106434349,0.08855720513440997,0.0007338670846246118,3.230644080540774,0.00023526281300933916,0.00010339402372656514,0.0026987843215393694,0.000327323197786401,0.0,0.0,0.0017975643184521767,0.001971837584109079,0.0008394004301978818,0.004987702044476438,0.0,0.006672027741723676,0.0004961716050009967,0.009651061564481483,0.024614151948875722,0.2116817067603312,0.04676688870286387,0.0024614151948875724,0.0024614151948875724,0.017229906364213007,0.03938264311820116,0.049228303897751444,0.09353377740572774,0.0,0.012307075974437861,0.21906595234499393,0.0,0.06399679506707688,0.017229906364213007,0.0,0.00984566077955029,0.029536982338650868,0.0031160202122964046,0.010087346880889109,0.019568748799884135
45,99212,2.0592355825842117,4.817904315517662,0.010561930551919375,0.0,0.04701032832404629,0.0,0.0,0.0037438869831633906,0.030920130180233582,0.0,0.0387718240037854,0.3233180299537631,0.0,0.0034454329417090593,0.0,0.0008066879517915502,0.0007735097241734109,0.14819977259884223,0.0021385273173405296,0.13519316731781184,0.06635954151416498,0.001387812264697514,3.0597222738617327,0.005792994613899001,0.03121378664606623,0.023720570759498034,1.9279245175386757e-05,0.0,0.0,0.009213491062317083,0.008503651938900743,0.000722002830163451,0.009179090734080714,0.0,0.01650054139626474,0.0049858241884396986,0.018758937816280106,0.03736064234821989,0.1826520292579639,0.05188978103919429,0.006226773724703314,0.006226773724703314,0.029058277381948803,0.23454181029715818,0.05604096352232983,0.1888788029826672,0.0,0.04566300731449097,0.31133868623516575,0.010377956207838858,0.17019848180855726,0.035285051106652116,0.006226773724703314,0.05604096352232983,0.06849451097173646,0.00847750715730356,0.0038311238272205617,0.04217975072487956
46,83528,1.9391036496651757,4.307557257933208,0.02224951612523642,0.0,0.0,0.0,0.0,0.046812408277995474,0.025020380401811718,0.0,0.02551440805066473,0.5508036328998911,0.0,0.0,0.0,0.005183430540472354,0.0,0.037271628122373515,0.0,0.17461857022998942,0.10023480314364984,4.6375111866923706e-05,3.0682870503156914,0.009705576096415303,0.015262504222396124,0.023324552810186538,0.00028586295666641883,0.0010828718325145083,0.0,0.0017268476099085528,0.00961930275947752,5.092065863690712e-05,0.00468948597115516,0.0,0.012795956624988652,0.00019756499829273546,0.04185696306685253,0.011607506762194597,0.22982863389145303,0.025536514876828113,0.004643002704877839,0.004643002704877839,0.0023215013524389193,0.1067890622121903,0.08821705139267894,0.201970617662186,0.0,0.03714402163902271,0.22286412983413625,0.0,0.07660954463048435,0.025536514876828113,0.006964504057316758,0.1903631108999914,0.03946552299146163,0.008517797445949197,0.00431256532483084,0.03328961139031638
47,42619,0.9249335109074273,4.60779066791381,0.012321824530871476,0.0,0.07379669940754217,0.0,0.0,0.0004293803517327968,0.018444274000714325,0.0015276223770664022,0.28605503738316945,0.07894391382417705,0.0,0.0,0.0,0.0008681478679105071,0.0,0.25149133784598177,0.0001296704196689969,0.014673202614591579,0.02755775447563221,0.00028384170591165656,3.9529165559080592,1.163332366606005e-05,0.0,0.005906832079607018,0.0005430059661996809,0.0,0.0,0.000888705411997631,0.0010706723273096854,0.0002584239677589769,0.007633390008171704,0.0,0.0019059399182337648,0.0,0.10092811861006064,0.04340474956744285,0.1627678108779107,0.04991546200255928,0.0,0.0,0.0,0.054255936959303565,0.03255356217558214,0.06510712435116428,0.0,0.03472379965395428,0.21051303540209784,0.0021702374783721425,0.11285234887535142,0.013021424870232856,0.0,0.019532137305349282,0.03472379965395428,0.003619137131907425,0.001317510812237075,0.01956519750539241
48,57807,1.3109065497541152,4.409696481480147,0.008661598219156835,0.0,0.014799621986058439,0.0,0.0,0.07696562443255674,0.04534553334263261,0.0023186178193642364,0.06600676035693889,0.35860856523557155,0.0,0.0007699504849309727,0.0,0.009813561766806703,0.0,0.005125332151864139,0.0017997865076444402,0.08343779609719612,0.03465260192582368,0.0006908067774909266,3.095095477194968,0.03371568794042215,0.0017193469148431438,0.02915794269345394,0.00020943248591684936,0.0,0.0,0.005618519257979387,0.006015331038364431,0.004679551329592626,0.008818519615254044,0.00019143181496858236,0.013367409460687391,0.005849094718808898,0.05054227422918484,0.01133864886392743,0.24718254523361796,0.1791506520500534,0.002267729772785486,0.0476223252284952,0.0816382718202775,0.3038757895532551,0.05896097409242263,0.1791506520500534,0.0,0.04081913591013875,0.3356240063722519,0.009070919091141943,0.12472513750320173,0.031748216818996804,0.0,0.024945027500640347,0.04989005500128069,0.008792425097090398,0.0031912164483588494,0.04376491447378666
49,90152,1.5442698910481247,5.837839649830391,0.0,0.0,0.011633492150571613,0.0,0.0,0.08535072077120422,0.027437800889450328,0.0034753043506084175,0.21149452642541106,0.13262770109414299,0.0,0.0,0.0,0.0014926614216152548,0.03862052245732082,0.2442699525735394,0.001286854094619244,0.03827677326311399,0.08625975678964455,0.0007674116236490435,3.097149683771965,0.0,0.036813229373435466,0.012074329506816386,0.0002757617907836759,0.00010850903484448026,0.0,0.0,0.016869800004830602,0.0006044754576337263,0.0014310375655114589,0.0,0.006509328792980352,0.0074457905865174265,0.016006905525412174,0.029120361331770938,0.05481479780098059,0.037685173488174156,0.0017129624312806435,0.003425924862561287,0.011990737018964505,0.11990737018964505,0.02569443646920965,0.1027777458768386,0.0,0.017129624312806437,0.1935647547347127,0.003425924862561287,0.037685173488174156,0.003425924862561287,0.015416661881525792,0.04453702321329673,0.010277774587683862,0.005483806755944453,0.002255270215847859,0.03164443231248302
50,17244,0.4024016230321705,4.28527098625082,0.02918090524466133,8.352591353498581e-06,0.009387411059722383,0.0,0.0,0.00585996322692375,0.008539230317986339,0.0019632234249662883,0.09177656279934537,0.5064388471110175,0.0,0.0,0.0,0.003819497009067102,6.528525353937436e-05,0.0012619241698115684,5.608315260273352e-05,0.057388550977548886,0.022721159855366872,0.000998612974847337,3.0910078545719135,0.0035297996714585057,0.0,0.006457058746456307,3.6477534824054845e-05,8.858114283921453e-06,0.0,0.0019560653762125263,0.0,0.042647405678246854,0.0016096299515456162,0.000332301620585057,0.011992299887444229,0.0074217101457660865,0.04215485733998677,0.02100217239207565,0.09334298840922511,0.049005068914843186,0.002333574710230628,0.007000724130691883,0.13301375848314578,0.051338643625073815,0.009334298840922512,0.10267728725014763,0.0,0.007000724130691883,0.11667873551153139,0.0,0.13068018377291515,0.007000724130691883,0.002333574710230628,0.03267004594322879,0.014001448261383767,0.003788729936340448,0.005961448134764388,0.027213285005204303
51,70927,1.4996115895535362,4.7296913743589,0.02935580303957574,1.1598291091035666e-05,0.002479048205669859,0.0,0.0,0.03187963136114762,0.06907499467697048,3.606901168576384e-05,0.07280024576706548,0.5580401113968919,0.0,0.010350249090125283,0.0,0.008748237417971474,0.018117620760902314,0.0,0.0002659771898000875,0.24036780716615344,0.11723448222524369,0.0010650133194366818,3.0487157106971035,0.00815516397894164,0.0010432577019125115,0.018677893660460375,0.0006045440910361049,0.0,0.0,0.0013864538652475207,0.010215821055805815,0.0,0.0026916505065199925,0.0,0.025434685253481804,0.004925112800240968,0.022866860199625718,0.03805745148104908,0.1564584116443129,0.0718862972419816,0.004228605720116565,0.0021143028600582826,0.02748593718075767,0.1543441087842546,0.05074326864139878,0.17125853166472088,0.0,0.03805745148104908,0.2050873774256534,0.00845721144023313,0.12897247446355523,0.010571514300291412,0.0021143028600582826,0.03382884576093252,0.029600240040815955,0.007293243993475844,0.005891400570744422,0.028008823150539708
