osm_id,name,type,other_tags
"3385922",Tuas View Close,associatedStreet,
"3385923",Tuas View Loop,associatedStreet,
"3385924",Tuas View Square,associatedStreet,
"3385925",Tuas West Avenue,associatedStreet,
"3385926",Tuas West Road,associatedStreet,
"3385927",Tuas West Street,associatedStreet,
"3413592",Liang Seah Street,associatedStreet,
"3413593",Middle Road,associatedStreet,
"3413594",Tan Quee Lan Street,associatedStreet,
"3431527",Jurong West Avenue 3,associatedStreet,
"3431528",Jurong West Avenue 5,associatedStreet,
"3431529",Jurong West Street 24,associatedStreet,
"3431530",Jurong West Street 71,associatedStreet,
"3431531",Jurong West Street 72,associatedStreet,
"3431532",Jurong West Street 73,associatedStreet,
"3431533",Jurong West Street 74,associatedStreet,
"3431534",Jurong West Street 75,associatedStreet,
"3431535",Jurong West Street 81,associatedStreet,
"3431536",Jurong West Street 91,associatedStreet,
"3431537",Jurong West Street 92,associatedStreet,
"3431538",Jurong West Street 93,associatedStreet,
"3431539",Westwood Avenue,associatedStreet,
"3431540",Westwood Crescent,associatedStreet,
"3431541",Westwood Drive,associatedStreet,
"3431542",Westwood Road,associatedStreet,
"3431543",Westwood Terrace,associatedStreet,
"3431544",Westwood Walk,associatedStreet,
"3431545",Yunnan Crescent,associatedStreet,
"3431546",Yunnan Drive,associatedStreet,
"3431547",Yunnan Road,associatedStreet,
"3431548",Yunnan Walk,associatedStreet,
"3431549",,associatedStreet,
"3472872",,restriction,"""restriction""=>""no_u_turn"""
"3474251",Avondale Grammar School,site,
"3474451",,restriction,"""restriction""=>""no_u_turn"""
"3474764",,restriction,"""restriction""=>""no_u_turn"""
"3485522",,restriction,"""restriction""=>""no_u_turn"""
"3487913",Jalan Novena Selatan,associatedStreet,
"3492981",Jalan Novena Barat,associatedStreet,
"3492982",Jalan Novena Timor,associatedStreet,
"3492983",Jalan Novena Utara,associatedStreet,"""building""=>""house"""
"3492984",Jalan Novena,associatedStreet,
"3492985",Novena Rise,associatedStreet,
"3497437",Novena Terrace,associatedStreet,
"3497969",Thomson Road,associatedStreet,
"3509532",,restriction,"""restriction""=>""no_u_turn"""
"3563173",Pandan Gardens,associatedStreet,
"3563174",Teban Gardens Road,associatedStreet,
"3824818",,associatedStreet,
"3876686",,associatedStreet,
"3876687",,associatedStreet,
"3876688",,associatedStreet,
"3876689",,associatedStreet,
"3929003",,restriction,"""restriction""=>""no_u_turn"""
"3929004",,restriction,"""restriction""=>""no_u_turn"""
"3929005",,restriction,"""restriction""=>""no_u_turn"""
"3929006",,restriction,"""restriction""=>""no_u_turn"""
"3929007",,restriction,"""restriction""=>""no_u_turn"""
"3929008",,restriction,"""restriction""=>""no_u_turn"""
"3929009",,restriction,"""restriction""=>""no_u_turn"""
"3929010",,restriction,"""restriction""=>""no_u_turn"""
"3929011",,restriction,"""restriction""=>""no_u_turn"""
"3929012",,restriction,"""restriction""=>""no_u_turn"""
"3929013",,restriction,"""restriction""=>""no_u_turn"""
"3929015",,restriction,"""restriction""=>""no_u_turn"""
"3929016",,restriction,"""restriction""=>""no_u_turn"""
"3929017",,restriction,"""restriction""=>""no_u_turn"""
"3929018",,restriction,"""restriction""=>""no_u_turn"""
"3929073",,restriction,"""restriction""=>""no_u_turn"""
"3929074",,restriction,"""restriction""=>""no_u_turn"""
"3929075",,restriction,"""restriction""=>""no_u_turn"""
"3929076",,restriction,"""restriction""=>""no_u_turn"""
"3929077",,restriction,"""restriction""=>""no_u_turn"""
"3929078",,restriction,"""restriction""=>""no_u_turn"""
"3929079",,restriction,"""restriction""=>""no_u_turn"""
"3929080",,restriction,"""restriction""=>""no_u_turn"""
"3929081",,restriction,"""restriction""=>""no_u_turn"""
"3929082",,restriction,"""restriction""=>""no_u_turn"""
"3929083",,restriction,"""restriction""=>""no_u_turn"""
