experiment_id,module,param,r01_value,new_value,changed_vs_r01,is_allowed_diff
F05,vspExperimental,vspDefaultsCheckingLevel,ignore,ignore,False,False
F05,vspExperimental,writingOutputEvents,true,true,False,False
F15,changeMode,ignoreCarAvailability,true,true,False,False
F15,changeMode,modeSwitchBehavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
F15,changeMode,modes,"car,pt","car,pt",False,False
F15,controller,cleanItersAtEnd,keep,keep,False,False
F15,controller,compressionType,gzip,gzip,False,False
F15,controller,createGraphsInterval,0,0,False,False
F15,controller,createScoringFunctionType,IterationStarts,IterationStarts,False,False
F15,controller,dumpDataAtEnd,true,true,False,False
F15,controller,enableLinkToLinkRouting,false,false,False,False
F15,controller,eventsFileFormat,xml,xml,False,False
F15,controller,firstIteration,0,0,False,False
F15,controller,lastIteration,19,19,False,False
F15,controller,legDurationsInterval,1,1,False,False
F15,controller,legHistogramInterval,1,1,False,False
F15,controller,memoryObserverInterval,60,60,False,False
F15,controller,mobsim,qsim,qsim,False,False
F15,controller,outputDirectory,D:\Luan\2026-05\2_Singapore\matsim_routechoice_7_6d\outputs\R01_rc_min,D:\Luan\2026-05\2_Singapore\matsim_demand_7_6f_1\outputs\F15_rc_min,True,True
F15,controller,overwriteFiles,deleteDirectoryIfExists,deleteDirectoryIfExists,False,False
F15,controller,routingAlgorithmType,SpeedyALT,SpeedyALT,False,False
F15,controller,runId,R01_rc_min,F15_rc_min,True,True
F15,controller,snapshotFormat,,,False,False
F15,controller,writeEventsInterval,0,0,False,False
F15,controller,writePlansInterval,0,0,False,False
F15,controller,writeSnapshotsInterval,0,0,False,False
F15,controller,writeTripsInterval,0,0,False,False
F15,counts,analyzedModes,car,car,False,False
F15,counts,averageCountsOverIterations,5,5,False,False
F15,counts,countsScaleFactor,1.0,1.0,False,False
F15,counts,distanceFilter,null,null,False,False
F15,counts,distanceFilterCenterNode,null,null,False,False
F15,counts,filterModes,false,false,False,False
F15,counts,inputCRS,null,null,False,False
F15,counts,inputCountsFile,null,null,False,False
F15,counts,outputformat,txt,txt,False,False
F15,counts,writeCountsInterval,10,10,False,False
F15,dsim,endTime,24:00:00,24:00:00,False,False
F15,dsim,linkDynamics,PassingQ,PassingQ,False,False
F15,dsim,networkModes,car,car,False,False
F15,dsim,partitioning,bisect,bisect,False,False
F15,dsim,startTime,00:00:00,00:00:00,False,False
F15,dsim,stuckTime,30.0,30.0,False,False
F15,dsim,threads,0,0,False,False
F15,dsim,trafficDynamics,kinematicWaves,kinematicWaves,False,False
F15,dsim,vehicleBehavior,teleport,teleport,False,False
F15,eventsManager,estimatedNumberOfEvents,null,null,False,False
F15,eventsManager,eventsQueueSize,131072,131072,False,False
